# Date: 20201013
# Operator: DCC&JLC
# Notes: sample 5 15 in/lb on each nut, egg outer
# Tap_cm: 5.0
# Sample: sample 5
# Fit of Tap:
#	Ic = 78.5 +/- 0.26 A
#	n = 41.2 +/- 2.4 
#	Vc = 5 uV
#	Vfloor = 16.2 +/- 0.44 uV
#	R = 0.128 +/- 0.01 Ohms
Tap [uV],Shunt [A],Supply [A],Time [S],Hall [T],Cernox [K]
0.900000,0.310000,0.000000,0.046766,20.698752,255.915633
1.200000,0.310000,0.083333,0.059233,20.709447,252.498941
1.300000,0.390000,0.166667,0.075621,20.707665,254.195574
1.100000,0.450000,0.250000,0.092258,20.709447,250.825257
1.300000,0.550000,0.333333,0.107578,20.702317,250.825257
1.000000,0.590000,0.416667,0.123918,20.707665,250.825257
1.400000,0.690000,0.500000,0.140249,20.707665,252.498941
1.400000,0.790000,0.583333,0.155436,20.705882,249.174056
1.200000,0.870000,0.666667,0.171757,20.705882,249.174056
1.300000,0.990000,0.750000,0.187940,20.707665,244.350882
1.200000,1.090000,0.833333,0.204188,20.709447,247.544885
1.200000,1.250000,0.916667,0.224474,20.707665,252.498941
1.100000,1.230000,1.000000,0.236243,20.709447,247.544885
1.300000,1.370000,1.083333,0.257836,20.704100,252.498941
1.200000,1.430000,1.166667,0.268007,20.707665,244.350882
1.200000,1.550000,1.250000,0.284155,20.713012,247.544885
1.100000,1.590000,1.333333,0.300067,20.707665,250.825257
1.100000,1.710000,1.416667,0.316022,20.705882,252.498941
1.200000,1.830000,1.500000,0.331898,20.704100,250.825257
1.300000,1.930000,1.583333,0.347899,20.705882,249.174056
1.100000,2.010000,1.666667,0.363929,20.700535,255.915633
1.100000,2.130000,1.750000,0.379853,20.707665,257.659612
1.200000,2.230000,1.833333,0.395880,20.709447,259.428015
1.400000,2.290000,1.916667,0.411670,20.707665,255.915633
1.400000,2.370000,2.000000,0.427309,20.709447,255.915633
1.300000,2.470000,2.083333,0.443313,20.702317,252.498941
0.900000,2.630000,2.166667,0.459920,20.709447,257.659612
1.300000,2.690000,2.250000,0.475479,20.707665,247.544885
1.300000,2.730000,2.333333,0.491019,20.707665,255.915633
1.000000,2.870000,2.416667,0.507564,20.707665,249.174056
1.200000,2.930000,2.500000,0.523096,20.711230,249.174056
1.100000,3.070000,2.583333,0.539791,20.704100,252.498941
1.100000,3.170000,2.666667,0.556764,20.702317,249.174056
1.300000,3.310000,2.750000,0.571836,20.707665,247.544885
1.400000,3.270000,2.833333,0.587432,20.714795,247.544885
1.200000,3.430000,2.916667,0.604016,20.705882,250.825257
1.200000,3.550000,3.000000,0.619569,20.716578,252.498941
1.300000,3.690000,3.083333,0.635112,20.700535,245.937304
1.200000,3.750000,3.166667,0.652007,20.704100,245.937304
1.500000,3.770000,3.250000,0.667594,20.714795,250.825257
1.400000,3.910000,3.333333,0.683153,20.709447,252.498941
1.400000,4.030000,3.416667,0.699699,20.713012,247.544885
1.200000,4.070000,3.500000,0.715272,20.709447,252.498941
1.400000,4.210000,3.583333,0.731825,20.705882,247.544885
1.300000,4.290000,3.666667,0.747378,20.707665,252.498941
1.200000,4.410000,3.750000,0.763908,20.714795,250.825257
1.200000,4.490000,3.833333,0.779530,20.704100,249.174056
1.200000,4.650000,3.916667,0.795205,20.702317,252.498941
1.200000,4.730000,4.000000,0.811787,20.705882,257.659612
1.300000,4.770000,4.083333,0.827348,20.711230,254.195574
1.300000,4.930000,4.166667,0.843887,20.707665,255.915633
0.900000,4.950000,4.250000,0.865600,20.707665,250.825257
1.200000,5.050000,4.333333,0.875324,20.705882,252.498941
1.400000,5.150000,4.416667,0.891885,20.707665,250.825257
1.300000,5.210000,4.500000,0.907426,20.707665,252.498941
1.200000,5.290000,4.583333,0.923959,20.704100,252.498941
1.200000,5.430000,4.666667,0.939544,20.705882,247.544885
1.400000,5.510000,4.750000,0.955103,20.709447,247.544885
1.300000,5.610000,4.833333,0.971655,20.700535,250.825257
1.300000,5.630000,4.916667,0.987218,20.707665,247.544885
1.200000,5.790000,5.000000,1.003786,20.704100,249.174056
1.200000,5.910000,5.083333,1.019323,20.695187,249.174056
1.400000,6.010000,5.166667,1.035927,20.698752,244.350882
1.200000,6.110000,5.250000,1.053047,20.704100,249.174056
1.200000,6.190000,5.333333,1.067654,20.713012,254.195574
1.300000,6.250000,5.416667,1.083203,20.711230,249.174056
1.500000,6.370000,5.500000,1.099761,20.713012,247.544885
1.300000,6.450000,5.583333,1.115330,20.704100,254.195574
1.100000,6.610000,5.666667,1.131972,20.702317,254.195574
1.500000,6.670000,5.750000,1.154737,20.707665,245.937304
1.100000,6.750000,5.833333,1.163764,20.705882,254.195574
1.200000,6.730000,5.916667,1.180218,20.713012,254.195574
1.300000,6.970000,6.000000,1.195914,20.709447,250.825257
1.400000,7.070000,6.083333,1.211540,20.705882,254.195574
1.300000,7.170000,6.166667,1.227163,20.707665,254.195574
1.400000,7.270000,6.250000,1.243751,20.707665,255.915633
1.400000,7.390000,6.333333,1.259743,20.707665,257.659612
1.400000,7.410000,6.416667,1.275391,20.707665,252.498941
1.100000,7.570000,6.500000,1.292083,20.704100,255.915633
1.300000,7.630000,6.583333,1.307667,20.707665,252.498941
1.300000,7.730000,6.666667,1.323291,20.700535,250.825257
1.100000,7.830000,6.750000,1.339877,20.705882,249.174056
1.500000,7.910000,6.833333,1.355484,20.713012,250.825257
1.300000,7.990000,6.916667,1.371035,20.705882,247.544885
1.200000,8.130000,7.000000,1.387562,20.711230,252.498941
1.100000,8.210000,7.083333,1.403101,20.696970,249.174056
1.200000,8.310000,7.166667,1.419638,20.704100,247.544885
1.300000,8.470000,7.250000,1.435365,20.704100,274.520239
1.500000,8.530000,7.333333,1.473836,20.709447,250.825257
1.100000,8.550000,7.416667,1.489566,20.711230,250.825257
1.300000,8.630000,7.500000,1.506059,20.704100,249.174056
1.200000,8.690000,7.583333,1.521505,20.711230,245.937304
1.100000,8.770000,7.666667,1.537718,20.714795,245.937304
1.300000,8.950000,7.750000,1.552593,20.702317,250.825257
1.300000,9.070000,7.833333,1.568389,20.696970,249.174056
1.300000,9.150000,7.916667,1.584168,20.704100,249.174056
1.400000,9.230000,8.000000,1.599947,20.705882,254.195574
1.200000,9.330000,8.083333,1.616739,20.707665,247.544885
1.200000,9.470000,8.166667,1.632537,20.709447,250.825257
1.300000,9.550000,8.250000,1.652860,20.707665,245.937304
1.200000,9.610000,8.333333,1.664724,20.707665,252.498941
1.300000,9.670000,8.416667,1.680510,20.705882,252.498941
1.400000,9.790000,8.500000,1.696369,20.707665,254.195574
1.400000,9.950000,8.583333,1.712155,20.702317,255.915633
1.400000,10.030000,8.666667,1.727958,20.707665,252.498941
1.400000,10.150000,8.750000,1.744758,20.709447,254.195574
1.300000,10.230000,8.833333,1.760838,20.709447,259.428015
1.200000,10.270000,8.916667,1.776150,20.711230,254.195574
1.300000,10.370000,9.000000,1.792080,20.705882,255.915633
1.300000,10.490000,9.083333,1.808930,20.700535,252.498941
1.300000,10.570000,9.166667,1.824756,20.709447,254.195574
1.300000,10.630000,9.250000,1.840554,20.707665,249.174056
1.300000,10.770000,9.333333,1.856947,20.714795,250.825257
1.200000,10.910000,9.416667,1.872785,20.721925,249.174056
1.400000,10.910000,9.500000,1.888587,20.709447,247.544885
1.200000,11.050000,9.583333,1.904368,20.705882,249.174056
1.300000,11.190000,9.666667,1.920154,20.711230,249.174056
1.200000,11.290000,9.750000,1.935944,20.707665,242.785204
1.400000,11.370000,9.833333,1.952745,20.707665,242.785204
1.400000,11.410000,9.916667,1.968523,20.709447,250.825257
1.300000,11.550000,10.000000,1.984310,20.705882,249.174056
1.300000,11.650000,10.083333,2.000072,20.709447,247.544885
1.300000,11.730000,10.166667,2.016096,20.705882,252.498941
1.400000,11.830000,10.250000,2.032987,20.709447,270.581565
1.300000,11.970000,10.333333,2.057003,20.695187,252.498941
1.300000,12.030000,10.416667,2.070329,20.695187,244.350882
1.200000,12.130000,10.500000,2.080509,20.709447,254.195574
1.200000,12.270000,10.583333,2.097204,20.705882,257.659612
1.100000,12.370000,10.666667,2.113172,20.709447,255.915633
1.300000,12.430000,10.750000,2.128044,20.707665,254.195574
1.200000,12.570000,10.833333,2.145066,20.702317,257.659612
1.400000,12.570000,10.916667,2.160638,20.702317,255.915633
1.200000,12.690000,11.000000,2.176560,20.707665,252.498941
1.300000,12.790000,11.083333,2.192537,20.707665,250.825257
1.200000,12.870000,11.166667,2.209045,20.709447,254.195574
1.400000,13.010000,11.250000,2.224516,20.702317,250.825257
1.200000,13.050000,11.333333,2.240487,20.707665,250.825257
1.300000,13.170000,11.416667,2.260946,20.705882,259.428015
1.300000,13.210000,11.500000,2.274692,20.718360,252.498941
1.500000,13.350000,11.583333,2.290940,20.718360,249.174056
1.400000,13.410000,11.666667,2.306760,20.711230,250.825257
1.400000,13.570000,11.750000,2.322860,20.709447,252.498941
1.200000,13.670000,11.833333,2.338793,20.713012,252.498941
1.400000,13.770000,11.916667,2.358978,20.700535,239.714457
1.400000,13.850000,12.000000,2.368528,20.705882,249.174056
1.400000,13.930000,12.083333,2.384486,20.713012,247.544885
1.300000,13.970000,12.166667,2.400289,20.713012,247.544885
