# Date: 20210617
# Operator: RDP
# Notes: 
# Tap_cm: 3.0
# Sample: AW_Ni_SPI57_03
# Fit of Tap:
#	Ic = 66.6 +/- 0.04 A
#	n = 48.4 +/- 2.8 
#	Vc = 3 uV
#	Vfloor = 2.36 +/- 0.025 uV
#	R = 0.387 +/- 0.00069 Ohms
Tap [uV],Shunt [A],Supply [A],Input_5 [uV],Time [S],Hall [A],Cernox [T]
2.400000,0.250000,0.000000,-38.600000,0.073835,0.130000,-4.500891
2.000000,0.190000,0.040000,-36.000000,0.129751,0.050000,-4.199643
2.300000,0.450000,0.080000,-35.800000,0.140067,0.050000,-4.538324
2.500000,0.210000,0.120000,-35.600000,0.149762,0.110000,-4.310160
2.300000,0.290000,0.160000,-36.400000,0.159438,0.210000,-4.306595
2.500000,0.330000,0.200000,-36.000000,0.168956,0.070000,-4.556150
2.300000,0.370000,0.240000,-35.800000,0.178601,0.130000,-4.181818
2.300000,0.390000,0.280000,-35.200000,0.188178,0.110000,-4.629234
2.300000,0.450000,0.320000,-36.000000,0.197743,0.310000,-4.190731
2.300000,0.490000,0.360000,-35.600000,0.210653,0.030000,-4.213904
2.300000,0.550000,0.400000,-36.000000,0.230030,0.250000,-4.197861
2.400000,0.570000,0.440000,-36.000000,0.239745,0.170000,-4.559715
2.200000,0.530000,0.480000,-36.000000,0.264478,0.110000,-4.201426
2.500000,0.650000,0.520000,-36.000000,0.274846,-0.090000,-4.408200
2.200000,0.690000,0.560000,-35.600000,0.284802,0.130000,-4.458111
2.400000,0.670000,0.600000,-35.400000,0.294686,0.170000,-4.197861
2.500000,0.750000,0.640000,-35.400000,0.304676,0.130000,-4.645276
2.300000,0.810000,0.680000,-35.400000,0.318343,0.170000,-4.237077
2.400000,0.850000,0.720000,-35.800000,0.328347,0.070000,-4.188948
2.500000,0.830000,0.760000,-35.200000,0.337926,-0.030000,-4.643494
2.500000,0.890000,0.800000,-35.800000,0.347650,0.070000,-4.201426
2.100000,0.950000,0.840000,-36.200000,0.358033,0.090000,-4.434938
2.300000,1.010000,0.880000,-36.200000,0.368120,-0.050000,-4.497326
2.500000,1.030000,0.920000,-35.400000,0.377772,0.310000,-4.203209
2.200000,1.090000,0.960000,-37.200000,0.388293,0.190000,-4.629234
2.500000,1.110000,1.000000,-41.200000,0.406744,0.110000,-4.606061
2.300000,1.190000,1.040000,-35.800000,0.425623,0.110000,-4.376114
2.200000,1.230000,1.080000,-35.800000,0.435645,0.130000,-4.534759
2.400000,1.270000,1.120000,-35.800000,0.445556,0.150000,-4.172906
2.200000,1.270000,1.160000,-35.400000,0.455518,0.130000,-4.618538
2.400000,1.330000,1.200000,-36.000000,0.465143,0.110000,-4.212121
2.400000,1.390000,1.240000,-36.000000,0.475173,0.130000,-4.395722
2.200000,1.410000,1.280000,-36.000000,0.485037,0.130000,-4.488414
2.400000,1.450000,1.320000,-35.800000,0.494770,0.150000,-4.210339
2.100000,1.530000,1.360000,-35.400000,0.504681,0.190000,-4.659537
2.300000,1.570000,1.400000,-35.800000,0.514672,0.050000,-4.217469
2.500000,1.590000,1.440000,-36.000000,0.524593,0.190000,-4.465241
2.300000,1.630000,1.480000,-35.800000,0.534268,0.110000,-4.426025
2.200000,1.690000,1.520000,-35.800000,0.559781,0.110000,-4.288770
2.200000,1.730000,1.560000,-36.000000,0.570525,0.190000,-4.643494
2.100000,1.790000,1.600000,-36.000000,0.580536,0.110000,-4.208556
2.300000,1.750000,1.640000,-38.400000,0.597834,0.150000,-4.199643
2.200000,1.870000,1.680000,-36.200000,0.620221,0.150000,-4.627451
2.200000,1.830000,1.720000,-36.200000,0.629813,0.070000,-4.187166
2.500000,1.910000,1.760000,-36.200000,0.639578,0.170000,-4.577540
2.100000,2.050000,1.800000,-35.800000,0.649197,0.150000,-4.281640
2.200000,2.050000,1.840000,-37.200000,0.659013,0.110000,-4.347594
2.200000,1.930000,1.880000,-41.000000,0.670731,0.110000,-4.641711
2.200000,1.690000,1.920000,-35.800000,0.681313,0.090000,-4.115865
2.500000,1.970000,1.960000,-35.800000,0.690947,0.350000,-4.467023
2.500000,2.130000,2.000000,-37.000000,0.700963,0.110000,-4.415330
2.300000,2.190000,2.040000,-35.400000,0.710658,0.150000,-4.231729
2.500000,2.330000,2.080000,-35.200000,0.720220,0.150000,-4.639929
2.100000,2.390000,2.120000,-36.000000,0.729871,0.410000,-4.235294
2.300000,2.250000,2.160000,-37.600000,0.739629,0.230000,-4.582888
2.200000,2.350000,2.200000,-37.400000,0.749165,0.110000,-4.262032
2.100000,2.390000,2.240000,-36.000000,0.758730,0.130000,-4.376114
2.400000,2.430000,2.280000,-35.600000,0.768414,0.130000,-4.483066
2.300000,2.410000,2.320000,-35.600000,0.781040,0.090000,-4.203209
2.400000,2.550000,2.360000,-35.800000,0.798470,0.110000,-4.212121
2.400000,2.610000,2.400000,-36.000000,0.808039,0.230000,-4.434938
2.400000,2.550000,2.440000,-35.800000,0.817712,0.110000,-4.408200
2.500000,2.610000,2.480000,-35.600000,0.827251,0.190000,-4.224599
2.200000,2.670000,2.520000,-35.800000,0.836757,0.110000,-4.611408
2.100000,2.790000,2.560000,-35.800000,0.861877,0.170000,-4.163993
2.200000,2.790000,2.600000,-35.800000,0.872198,0.170000,-4.600713
2.300000,2.850000,2.640000,-35.800000,0.881734,0.110000,-4.203209
2.400000,2.870000,2.680000,-35.800000,0.891878,0.130000,-4.447415
2.300000,3.330000,2.720000,-41.200000,0.903076,0.130000,-4.598930
2.200000,3.050000,2.760000,-36.200000,0.912745,0.090000,-4.172906
2.600000,3.030000,2.800000,-35.800000,0.922454,0.170000,-4.591800
2.300000,3.570000,2.840000,-37.600000,0.932195,-0.250000,-4.224599
2.400000,3.110000,2.880000,-36.600000,0.941893,0.190000,-4.397504
2.400000,3.090000,2.920000,-36.400000,0.952682,0.230000,-4.581105
2.100000,3.130000,2.960000,-38.400000,0.963666,0.090000,-4.197861
2.200000,3.230000,3.000000,-39.000000,0.985618,0.110000,-4.508021
2.300000,3.210000,3.040000,-35.600000,0.995246,0.050000,-4.171123
2.200000,3.210000,3.080000,-35.400000,1.004793,0.170000,-4.639929
2.200000,3.330000,3.120000,-36.000000,1.014314,0.130000,-4.206774
2.300000,3.490000,3.160000,-36.000000,1.023995,0.210000,-4.502674
2.400000,3.330000,3.200000,-36.000000,1.033668,0.130000,-4.347594
2.400000,3.470000,3.240000,-36.800000,1.043167,0.110000,-4.288770
2.100000,3.530000,3.280000,-36.000000,1.052704,0.110000,-4.572193
2.200000,3.510000,3.320000,-36.000000,1.062357,0.090000,-4.171123
2.300000,3.570000,3.360000,-35.600000,1.071880,0.170000,-4.634581
2.200000,3.570000,3.400000,-37.200000,1.081521,0.110000,-4.208556
2.200000,3.610000,3.440000,-35.800000,1.091068,0.150000,-4.472371
2.300000,3.430000,3.480000,-35.800000,1.100748,0.150000,-4.386809
2.200000,3.750000,3.520000,-36.000000,1.110419,0.090000,-4.242424
2.200000,3.870000,3.560000,-36.400000,1.119971,0.030000,-4.614973
2.400000,3.830000,3.600000,-36.000000,1.129617,0.110000,-4.180036
2.300000,3.870000,3.640000,-36.200000,1.148765,0.130000,-4.235294
2.100000,3.910000,3.680000,-36.000000,1.163085,0.110000,-4.192513
2.400000,3.930000,3.720000,-36.000000,1.184128,0.050000,-4.331551
2.100000,3.990000,3.760000,-38.800000,1.194913,-0.270000,-4.174688
2.200000,4.050000,3.800000,-36.400000,1.205147,0.170000,-4.622103
2.200000,4.070000,3.840000,-36.400000,1.214768,0.030000,-4.210339
2.500000,4.130000,3.880000,-36.200000,1.224337,0.070000,-4.481283
2.100000,4.090000,3.920000,-36.200000,1.234144,0.110000,-4.385027
2.300000,3.870000,3.960000,-38.200000,1.244988,0.310000,-4.208556
2.400000,4.230000,4.000000,-39.800000,1.257065,0.190000,-4.568627
2.500000,4.270000,4.040000,-35.600000,1.266882,0.230000,-4.324421
2.200000,4.330000,4.080000,-35.600000,1.276542,0.130000,-4.295900
2.200000,4.370000,4.120000,-35.800000,1.286093,0.130000,-4.577540
2.300000,4.390000,4.160000,-35.800000,1.295763,0.090000,-4.169340
2.100000,4.430000,4.200000,-34.600000,1.305455,0.130000,-4.616756
2.200000,4.470000,4.240000,-35.800000,1.315144,0.190000,-4.156863
2.200000,4.530000,4.280000,-36.200000,1.324859,0.010000,-4.429590
2.500000,4.590000,4.320000,-35.400000,1.334578,0.150000,-4.406417
2.200000,4.670000,4.360000,-35.600000,1.344150,0.130000,-4.222816
2.500000,4.690000,4.400000,-36.000000,1.364684,0.090000,-4.196078
2.400000,4.770000,4.440000,-36.000000,1.374258,0.170000,-4.491979
2.500000,4.750000,4.480000,-35.800000,1.383892,0.150000,-4.360071
2.200000,4.790000,4.520000,-36.800000,1.393486,0.150000,-4.278075
2.100000,4.890000,4.560000,-36.000000,1.403030,0.110000,-4.591800
2.200000,4.870000,4.600000,-35.800000,1.412707,0.070000,-4.180036
2.500000,4.850000,4.640000,-35.200000,1.422358,0.070000,-4.618538
2.400000,4.930000,4.680000,-36.000000,1.431926,0.170000,-4.212121
2.400000,4.930000,4.720000,-35.800000,1.451703,0.130000,-4.465241
2.300000,5.070000,4.760000,-35.600000,1.466933,0.210000,-4.326203
2.300000,5.110000,4.800000,-35.400000,1.478038,0.070000,-4.185383
2.300000,4.570000,4.840000,-36.000000,1.488430,0.090000,-4.634581
2.300000,5.130000,4.880000,-35.800000,1.498061,0.070000,-4.199643
2.100000,5.250000,4.920000,-36.000000,1.507758,0.170000,-4.477718
2.300000,5.270000,4.960000,-36.000000,1.517472,0.190000,-4.379679
